ID do chat ao vivo,ID do canal,Marcação de tempo da criação do chat ao vivo,Preço,ID do vídeo,Texto do chat ao vivo
Ugz-CL5t5OvhopEy0AZ4AaABDqgB5MuViQI,UCDBnBJ2_rN3m97D1RNJju4Q,2024-09-13T16:04:52.293857+00:00,0,AhTjkQpKs68,"{""text"":""@Gabriel Caetano duvido que a R&T contrataria o Memphis""}"
Ugzl0UWLvtI9MI6sPeN4AaABDqgB6_LejAI,UCDBnBJ2_rN3m97D1RNJju4Q,2024-08-23T02:30:01.291649+00:00,0,W7WyzxRuKZU,"{""text"":""Cássio contra boca, a gente já sabe o final ""}"
Ugw3kl-lzpIpVWy4tiN4AaABDqgB0_36iQI,UCDBnBJ2_rN3m97D1RNJju4Q,2024-03-18T22:01:00.268137+00:00,0,cL-ipAnIL4I,"{""text"":""Vai Corinthians!""}"
Ugyh6shUbYsfVbG2Hh54AaABDqgBxILZkwI,UCDBnBJ2_rN3m97D1RNJju4Q,2023-12-03T11:51:09.131472+00:00,0,5-DS-axwBYE,"{""text"":""manda salveeeeeeeeeeeeeeee""}"
Ugyf30Xd7mRHZk0AjvN4AaABDqgB4bPzkwI,UCDBnBJ2_rN3m97D1RNJju4Q,2023-12-03T11:50:36.171283+00:00,0,5-DS-axwBYE,"{""text"":""manda salve Mantovani""}"
UgwhGcOxLTi9nsu1wLR4AaABDqgB_MXiiwI,UCDBnBJ2_rN3m97D1RNJju4Q,2023-07-22T03:02:20.165953+00:00,0,uCVKi4fs164,"{""text"":""Guilherme: Deus abrirá todas as portas da minha vida 🙏 i""}"
Ugxzk5RVUJiNKtED9qx4AaABDqgBu5nCigI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-12-05T11:01:20.40208+00:00,0,Fxl01WmboXo,"{""text"":""Eu tbm vou comprar te apoiando""}"
UgwxK03cBC4eMBRWKbx4AaABDqgBntusiQI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-09-10T00:35:09.630042+00:00,0,V5mV3WVD1Uw,"{""text"":""oi @Juniana de Souza Borges""}"
UgzK3qE0wjtdn2apJwJ4AaABDqgBwu6DjAI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-06-21T22:29:08.200776+00:00,0,oBZ5dcpfJ4U,"{""text"":""pfvr manda salve!!!""}"
Ugy-zF-UZvw7NwoJ0ul4AaABDqgB_YW4nAI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-23T15:19:45.948594+00:00,0, -fW-bVhsxto,"{""text"":""opa Nicks, tudo beleza?""}"
Ugxi-Kb0iekHKAGSpc94AaABDqgBodmZmAI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-15T01:49:51.828459+00:00,0,AVqfmaPJJTk,"{""text"":""salve Pedrão""}"
Ugw4FieN2_PXvFuLtcl4AaABDqgBur-WgQI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-04T01:27:16.423009+00:00,0,YQI7CQQQ1eE,"{""text"":""opa!!! só vim mandar um salve""}"
UgxIxIHPwd9zYeIFC154AaABDqgBzrPOhQI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-03T16:29:09.027552+00:00,0,Jrk6NJuwZxE,"{""text"":""e o peixoto?""}"
Ugw7ZSsH5C2sWQxigsx4AaABDqgBkbCuhgI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-03T16:03:51.070792+00:00,0,Jrk6NJuwZxE,"{""text"":""oq é 4 safe?""}"
UgyL-i9smxdS4hmVKmt4AaABDqgBh4vsgwI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-03T00:33:03.917335+00:00,0,gbk0WYU8sXo,"{""text"":""qual o tema?""}"
Ugz3QagBwe3NUQJF4FZ4AaABDqgB6NSNlAI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-03T00:32:30.877342+00:00,0,gbk0WYU8sXo,"{""text"":""qual a chave""}"
UgzBf4bdfVY_uUD-vzN4AaABDqgBq8uxnQI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-03T00:29:56.319635+00:00,0,segLq597fo0,"{""text"":""qual o tema?""}"
UgzlhALhGrkQ94FeAgd4AaABDqgBj_GVmgI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-02T16:04:00.4912+00:00,0,2EQhDeAfo08,"{""text"":""ok""}"
UgzHdFZOToa-9vdE4_x4AaABDqgBopPYggI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-02T16:03:38.871195+00:00,0,2EQhDeAfo08,"{""text"":""Qual é a chave?""}"
UgxdtDcXYjgLjYOky154AaABDqgBgO6TkgI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-02T16:02:34.936812+00:00,0,2EQhDeAfo08,"{""text"":""qual a chave?""}"
UgwXAFQ2n8DsXNniGIZ4AaABDqgB1tOUnQI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-05-02T16:01:33.629635+00:00,0,2EQhDeAfo08,"{""text"":""qual o tema?""}"
Ugx0A09AO697JleIoq54AaABDqgBiJWPhwI,UCDBnBJ2_rN3m97D1RNJju4Q,2021-03-14T23:43:53.83362+00:00,0,GdWdTc3jBfE,"{""text"":""olá""}"
Ugxv_bwkjsr43Q36lpF4AaABDqgBxrCKjQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-12-23T23:25:49.174821+00:00,0,KkwtOMULiuE,"{""text"":""cadê a Dona Meia?""}"
UgwUlFrApGx0IofR8GB4AaABDqgBjuzdjwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-12-01T17:38:05.988773+00:00,0,2xsPqmKMXTI,"{""text"":""oi""}"
Ugxg7u9fsv0e07GntyF4AaABDqgBwJqBlAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-11-28T22:34:58.715492+00:00,0,e-hQKnFynjE,"{""text"":""e aí""}"
Ugz3VAlNMKK5v4ZVRKJ4AaABDqgB05felAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-11T00:34:55.749167+00:00,0,AsmVMaYyNnQ,"{""text"":""oi""}"
UgzQVhLNSvLwVL_lXz94AaABDqgBupyMhgI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-11T00:33:37.340202+00:00,0,AsmVMaYyNnQ,"{""text"":""me add por favor nick: Maestro_Gab Plataforma: PS4""}"
UgzmZazBTrx97qQjJX54AaABDqgBtM61hQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-06T20:04:59.051537+00:00,0,9n5u0Z84X2A,"{""text"":""salve""}"
UgxEMia9czGrAjGCCG54AaABDqgBwPG9kQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-09-06T20:04:17.050263+00:00,0,9n5u0Z84X2A,"{""text"":""oi""}"
Ugw2QIk2j51XUKNIMjB4AaABDqgBz_H7nQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-08-16T17:02:57.779953+00:00,0,K9wB_1ujqrE,"{""text"":""oi""}"
UgwEwdUleBboZeBgd8N4AaABDqgBkOi2gwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-08-16T00:13:09.999504+00:00,0,EdBHfEixDmY,"{""text"":""alerquina""}"
Ugwx44LpjbpmfxfXTVV4AaABDqgByvOUkAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-19T23:03:44.705392+00:00,0,4cC0maHfIIA,"{""text"":""sou o Maestro_Gab""}"
UgwUEVGDjprcM4lX-Kt4AaABDqgBnrW3lAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-19T23:03:33.129242+00:00,0,4cC0maHfIIA,"{""text"":""É aí mano""}"
UgzDnvF-JXXoe2L2HI54AaABDqgB68T-hwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-04T23:07:22.182925+00:00,0,IQEn5UElZiw,"{""text"":""oi""}"
UgwdrbvJcz-H92FZsBx4AaABDqgB2beliAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-04T22:57:15.229547+00:00,0,IQEn5UElZiw,"{""text"":""E aí Luíz""}"
UgxmfjsQQUazYfTtcnh4AaABDqgBuef0kQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-04T22:56:30.453501+00:00,0,IQEn5UElZiw,"{""text"":""Eu sou do 6° C""}"
UgyQY0Tz4HkuU6IdxDx4AaABDqgB08aXlwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-07-04T22:26:40.437026+00:00,0,IQEn5UElZiw,"{""text"":""E aí rapaziada""}"
Ugwoofawi-KKcnbo_aR4AaABDqgB6I7IlQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-26T22:38:07.815365+00:00,0,XalrYxMiiNc,"{""text"":""oi""}"
UgxwSeIKCg4HNU-hdwN4AaABDqgBo5ewgAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-15T15:21:12.354105+00:00,0,Z9_uIxbS_4M,"{""text"":""muito bom kkkkkkkkkkoo""}"
Ugzrrb8-cZr7RND7-fF4AaABDqgBz5_5mAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-15T15:20:06.109042+00:00,0,Z9_uIxbS_4M,"{""text"":""kkkkkkkkkkkk""}"
UgxOxiVh4qzBLMkPQml4AaABDqgBwvODjAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-06-09T19:36:34.529748+00:00,0,2VPVhHOMe2w,"{""text"":""eu""}"
Ugy-fXVqIxsXkuLyWmh4AaABDqgBl4WlhAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-30T19:18:01.108124+00:00,0,pMsvr55cTZ0,"{""text"":""Oi brasileiros""}"
UgzUxlNtdmlDM7qJvbF4AaABDqgB0pLSlwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-29T20:01:58.0706+00:00,0,fuWQZYvUiAs,"{""text"":""salve""}"
UgxVb0mt9VF1XbKCJ_J4AaABDqgBtN2yhwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-25T19:58:24.295693+00:00,0,VRSRUm0uVDA,"{""text"":""sim""}"
UgxjCsB8sAZg70RQsUR4AaABDqgBu8m5gAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-25T19:57:38.67151+00:00,0,VRSRUm0uVDA,"{""text"":""me adiciona como amigo, nick: Maestro_Gab""}"
UgweOcA37QKKFF76s5B4AaABDqgBgo_CkQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-25T19:57:07.061522+00:00,0,VRSRUm0uVDA,"{""text"":""me adiciona""}"
UgyGG_wzv-m8aIVY8S14AaABDqgBt8yPjwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-25T19:55:05.369495+00:00,0,VRSRUm0uVDA,"{""text"":""salve aeee""}"
Ugw45_TbYXvdNjBIMNh4AaABDqgBzY-CkAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:33:45.321354+00:00,0,yJKKCq6UJOE,"{""text"":""enLdinho""}"
UgzZ_nerU5U5Q3h7D7Z4AaABDqgB3teEigI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:31:40.828487+00:00,0,yJKKCq6UJOE,"{""text"":""50 mil""}"
UgyPUvjTPo9FjjS-Hhd4AaABDqgB8ZqmhwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:29:20.487193+00:00,0,yJKKCq6UJOE,"{""text"":""falta 1 mil""}"
Ugy9bD4pBW6sK3F81jJ4AaABDqgBh9bZhgI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:27:23.245496+00:00,0,yJKKCq6UJOE,"{""text"":""oi mundo das irmãs""}"
UgxaM0JMA8nFbPkIxJZ4AaABDqgBtbXlnAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:26:13.529354+00:00,0,yJKKCq6UJOE,"{""text"":""taca no chão para ver se não quebra""}"
Ugyk6lVzBI6A-EIro1d4AaABDqgBtNCmkgI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:22:49.691788+00:00,0,yJKKCq6UJOE,"{""text"":""Não abre""}"
Ugx7XOkmnH3m2aVpF2Z4AaABDqgBn6v7iwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-23T22:13:18.462262+00:00,0,yJKKCq6UJOE,"{""text"":""Brenner""}"
UgzU6lrZMEaL7f79f0x4AaABDqgBh4TNkgI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-22T01:55:09.864278+00:00,0,yJKKCq6UJOE,"{""text"":""E ae Enaldao""}"
UgyjLwcRKhelKAW_3mh4AaABDqgB3uq-hQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-07T02:07:54.645645+00:00,0,5_PBCNxez1Y,"{""text"":""denúncia esse haker""}"
UgxQv2LYRsHm8IWa4b94AaABDqgB_rrkigI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-06T14:40:16.35235+00:00,0,pRO22zr85l0,"{""text"":""de nada""}"
Ugx4SDnKdwfbFWMcmqd4AaABDqgBjre7nQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-06T14:37:46.637619+00:00,0,pRO22zr85l0,"{""text"":""oi""}"
UgxJiIPwqBlWD_FQl614AaABDqgBm5bvhAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-05T14:14:15.930454+00:00,0,y1-QSQMXCcg,"{""text"":""uma moto acabou de ser atropelada aqui na minha rua""}"
UgzHZ9p5qzxHnJmynyh4AaABDqgBgqvKlQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-05T13:51:53.561859+00:00,0,y1-QSQMXCcg,"{""text"":""eu também""}"
UgyKZ3UkcEyhoUEqIWV4AaABDqgBtPvHnAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-05T13:38:27.349892+00:00,0,y1-QSQMXCcg,"{""text"":""oi""}"
Ugy3MiRbhixsklFgt794AaABDqgB18jsnAI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-04T21:34:51.813451+00:00,0,9mOAbMiG_Dw,"{""text"":""Tudo combinado""}"
UgxPBvW3DZrPlUNRKPJ4AaABDqgByc65ngI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-04T13:55:51.706036+00:00,0,yRQiOdCtMUU,"{""text"":""quando vai começar?""}"
Ugyv2VmwMqbQHEz-oDR4AaABDqgBxL_3hwI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-05-04T12:51:46.770207+00:00,0,6tfElTrLTAI,"{""text"":""acabou a live ?""}"
UgzuEIbXRswYXVgtwRR4AaABDqgBkfTejQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-04-26T23:39:21.755177+00:00,0,2WkxuDBegbU,"{""text"":""gente, que jogo é esse""}"
Ugz3WyD-1LL1sCBSEWF4AaABDqgB6fOKgQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-04-21T19:20:59.468301+00:00,0,kqbT3nbx9EE,"{""text"":""🖐🖐🖐🖐🖐🖐🖐🖐🖐👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋👋""}"
UgzIDzPbwiRixVZSIUh4AaABDqgBk6zpjQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-04-21T19:19:36.783102+00:00,0,kqbT3nbx9EE,"{""text"":""❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤""}"
Ugwjfml80IXXiHdOFYx4AaABDqgB1-mrmQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-04-21T19:18:07.082585+00:00,0,kqbT3nbx9EE,"{""text"":""aeee""}"
UgzxHmwB4xa38Al8i1V4AaABDqgBx5eDhQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-04-21T19:17:50.146025+00:00,0,kqbT3nbx9EE,"{""text"":""parabens manooo""}"
Ugzv0cuVT6pyKhyxJgR4AaABDqgBmZK9kQI,UCDBnBJ2_rN3m97D1RNJju4Q,2020-04-12T15:15:47.444107+00:00,0,N72N8l_vVGA,"{""text"":""essa porra tá travando""}"
UgwO98HwtrBuztdSL_94AaABDqgBhqCujgI,UCDBnBJ2_rN3m97D1RNJju4Q,2019-06-20T11:06:11.786958+00:00,0,E8JMZ04I3Uw,"{""text"":""oi""}"
Ugx2OSgSvlf00PNaahV4AaABDqgB0r_sgAI,UCDBnBJ2_rN3m97D1RNJju4Q,2019-06-19T21:43:22.692012+00:00,0,f96BUNKfcac,"{""text"":""#zap""}"
UgwP_NZDiIKoIZCNobh4AaABDqgB4PTYigI,UCDBnBJ2_rN3m97D1RNJju4Q,2018-11-25T21:44:23.699961+00:00,0,Ks4spZuWpG4,"{""text"":""cadê o mundial palmeirenses ?""}"
UgynevYXUd1Auff3V754AaABDqgB46qdgAI,UCDBnBJ2_rN3m97D1RNJju4Q,2018-11-25T21:43:04.225698+00:00,0,Ks4spZuWpG4,"{""text"":""vai Corinthians""}"
UgyrRlafUqbb8CosAVR4AaABDqgB-5j_ggI,UCDBnBJ2_rN3m97D1RNJju4Q,2018-11-25T21:40:25.577198+00:00,0,Ks4spZuWpG4,"{""text"":""vai bolsonaro""}"





