ID do vídeo,Carimbo de data/hora da criação do vídeo da playlist
a4O-abCXsfA,2025-12-11T02:39:11+00:00
kIft-LUHHVA,2025-12-11T02:39:24+00:00
FjOhnPD_RXo,2025-12-11T02:39:42+00:00
62yox0F5lcA,2025-12-11T02:39:50+00:00
uN_qDyNhU7o,2025-12-11T02:40:00+00:00
ZM8rAsTT7yE,2025-12-11T02:40:02+00:00
 -KrC-gqKTMg,2025-12-11T02:40:04+00:00
KsVnVdM9bUc,2025-12-11T02:40:08+00:00
j360s9CtZTs,2025-12-11T02:40:18+00:00
mHTO2Xu3dlg,2025-12-11T02:40:29+00:00
az48Jxpeji0,2025-12-11T02:40:41+00:00
sPFT0sa9qe4,2025-12-11T02:41:23+00:00
0orWxQAii60,2025-12-11T02:41:37+00:00
hI2f51FmEy4,2025-12-11T02:41:42+00:00
U7sBzQMq7hQ,2025-12-11T02:41:45+00:00
Ns0svgOVo10,2025-12-11T02:42:01+00:00
5kO6su6XlZQ,2025-12-11T02:43:02+00:00
7nVctvQVz0U,2025-12-11T02:52:44+00:00
G-fCOEZnnTs,2025-12-11T02:52:49+00:00
H5tO_9wZ0hg,2025-12-11T02:52:50+00:00
RqeTpaZD9Qo,2025-12-11T02:52:53+00:00
uiK5NT9yQBQ,2025-12-11T02:53:01+00:00
_QtN6qocpKU,2025-12-11T02:53:53+00:00
VZ-oGLluGAc,2025-12-11T02:55:11+00:00
cCfPDrRQp9k,2025-12-11T02:55:14+00:00
nI6GP8wKJ6o,2025-12-11T02:55:37+00:00
i52e1UnZMQc,2025-12-11T02:55:47+00:00
EtamqTN6zWQ,2025-12-11T02:56:00+00:00
ispxjEqpy74,2025-12-11T02:56:05+00:00
Z1yDjhXIDSc,2025-12-11T02:56:10+00:00
tth2GxvDZKw,2025-12-11T02:56:43+00:00
uLL2xTK35Qc,2025-12-11T02:57:01+00:00
2B9fBFtBXhU,2025-12-11T02:57:10+00:00
Bc9ijogGmtU,2025-12-11T02:57:51+00:00
b14Z5u1YdxQ,2025-12-11T02:58:02+00:00
i_GA5GFAyKE,2025-12-11T02:58:10+00:00
zTz1vCjDEb4,2025-12-11T02:58:15+00:00
osSXXIBV-Mk,2025-12-11T02:58:21+00:00
C8nObVkgCEM,2025-12-11T02:58:57+00:00
XZ868t23Pb4,2025-12-11T02:59:06+00:00
vpohuhgqf5w,2025-12-11T02:59:12+00:00
GftZ601-pXs,2025-12-11T02:59:34+00:00
4b_ugh-65NQ,2025-12-11T02:59:40+00:00
S3nrck7gcfk,2025-12-11T02:59:50+00:00
Ryg4YV4LmtY,2025-12-11T03:01:03+00:00
AdEKgwUqPKI,2025-12-11T03:01:39+00:00
ZujrPLw9y9E,2025-12-11T03:01:47+00:00
tVdr_JWmnsA,2025-12-11T03:02:51+00:00
AySMGpXQ1Mo,2025-12-11T03:03:06+00:00
jVBsM8CM0AE,2025-12-11T03:03:41+00:00
M4T_k33CI1M,2025-12-11T03:03:45+00:00
J7p4bzqLvCw,2025-12-11T03:04:31+00:00
p8_ugAjWI5I,2025-12-11T03:04:54+00:00
mTLQhPFx2nM,2025-12-11T03:05:03+00:00
OZ3YLkPuk-U,2025-12-11T03:05:21+00:00
WxYgXmZ9xh8,2025-12-11T03:05:32+00:00
cJVpXPSXGtk,2025-12-11T03:05:45+00:00
FL-0pJsDz7k,2025-12-11T03:06:05+00:00
3DkGRv7Zho0,2025-12-11T03:06:52+00:00
APvEk-IEGJ4,2025-12-11T03:19:05+00:00
nmbiBVPe5bY,2025-12-11T18:36:03+00:00
tkCgsv25nDs,2025-12-12T12:59:59+00:00
2PpBU7EfiEY,2025-12-12T22:42:03+00:00
s9SLNR1bSno,2025-12-13T21:52:52+00:00
SKC_9OYc510,2025-12-14T01:12:27+00:00
dJBqd6-n3Uk,2025-12-14T01:13:33+00:00
WD_6A0l964k,2025-12-14T01:18:49+00:00
59nAgJZ5IoE,2025-12-14T01:21:19+00:00
Ztdc7TcPdAA,2025-12-14T01:27:15+00:00
dI5JaT6gjvw,2025-12-14T01:30:13+00:00
S0sWfudo4eU,2025-12-14T01:33:45+00:00
EO4_qL7GCHQ,2025-12-14T01:34:00+00:00
f73laCUMUW0,2025-12-14T01:37:07+00:00
24ngiApesiM,2025-12-14T01:39:02+00:00
48ydDUQ16RE,2025-12-14T17:51:29+00:00
nDiZD8mhaYw,2025-12-15T14:36:08+00:00
V9EUmduEtwU,2025-12-16T02:47:05+00:00
GBMp5it7JVI,2025-12-16T02:48:04+00:00
8RRnVZrYjis,2025-12-16T02:48:15+00:00
KPe9MU-bOf8,2025-12-16T02:49:58+00:00
ijCaxQLSoDo,2025-12-16T02:56:00+00:00
TG2AtaWuikA,2025-12-17T01:42:26+00:00
VeWGR9ENb9g,2025-12-18T23:19:56+00:00
5McUFZz2s-w,2025-12-18T23:25:35+00:00
MviU9xHGJDQ,2025-12-18T23:25:56+00:00
PamcgUKsI2Q,2025-12-23T04:44:55+00:00
sn0viUbmUVU,2025-12-23T05:06:02+00:00
V3NbrjVPIHM,2025-12-24T03:27:10+00:00
7lC5vKPpICE,2025-12-24T03:53:53+00:00
X4f0tStckSk,2025-12-25T23:15:50+00:00
Hofh-VI0KaQ,2025-12-25T23:37:07+00:00
gspg34wByfw,2025-12-30T00:55:55+00:00
bXxkZ6Nzdhc,2025-12-30T00:56:00+00:00
gspg34wByfw,2025-12-30T13:53:46+00:00
BjTTXtrhaFw,2026-01-02T16:28:40+00:00
ojhuTz2uMwU,2026-01-02T16:44:01+00:00
eFF1TGfHdp8,2026-01-02T16:44:10+00:00
9PACaJ8lQBw,2026-01-02T17:40:07+00:00
Kf5pXDhx5Vc,2026-01-03T19:11:33+00:00
ycZ6X9_APCs,2026-01-04T15:46:53+00:00
Ytmcwjf2amw,2026-01-04T15:52:19+00:00
knz9JqYfX4w,2026-01-04T16:15:12+00:00
g2d1QmEz8wo,2026-01-04T16:21:53+00:00
c-8abSPAPOU,2026-01-05T02:51:41+00:00
BobeOUbg1GI,2026-01-05T02:51:50+00:00
h8DeZSB2o-c,2026-01-05T03:39:23+00:00
nJw2_S2fPj8,2026-01-05T03:47:12+00:00
mAtafZqq6Gg,2026-01-05T15:32:51+00:00
RG-D4bcg54s,2026-01-07T16:38:33+00:00
MuZfJwghp1Y,2026-01-10T17:40:01+00:00
Laf5egr03VY,2026-01-10T23:37:13+00:00
HMQlkbXjSTM,2026-01-10T23:37:37+00:00
vum2bUJwfkI,2026-01-11T00:20:01+00:00
lMMGvFS_KqE,2026-01-11T00:22:49+00:00
HTuCOzS5gzk,2026-01-11T01:36:32+00:00
h27qhWrgXIg,2026-01-16T01:32:23+00:00
rC-bvpmyYsQ,2026-01-16T03:44:25+00:00
wlzGXcTzdzU,2026-01-16T04:02:12+00:00
D8RZbI1jfQ0,2026-01-16T04:02:39+00:00
OM6KZ043DAQ,2026-01-16T04:03:03+00:00
Ajn1xtaKYn4,2026-01-19T03:38:08+00:00
7BW_c2-TyhA,2026-01-20T04:30:24+00:00
Uyka5SnxmQ4,2026-01-20T04:31:25+00:00
Q8TFOBdXZj0,2026-01-22T15:15:48+00:00
i5RVKwIhrLc,2026-01-22T20:13:51+00:00
K8ZAr2O8ekc,2026-01-22T20:41:35+00:00
bLm8g1gdcPc,2026-01-22T20:44:07+00:00
wgqUhK32n1c,2026-01-23T04:57:55+00:00
AeedWEyMYYo,2026-01-23T04:57:58+00:00
tsu8BbPrQSM,2026-01-26T23:03:25+00:00
jT49A0e2WxU,2026-01-26T23:44:32+00:00





