Código da playlist,Adicionar novos vídeos ao topo,Descrição da playlist (original),Criar carimbo de data/hora da imagem da playlist 1,URL 1 da imagem da playlist,Altura 1 da imagem da playlist,Largura 1 da imagem da playlist,Criar carimbo de data/hora da imagem da playlist 2,URL 2 da imagem da playlist,Altura 2 da imagem da playlist,Largura 2 da imagem da playlist,Criar carimbo de data/hora da imagem da playlist 3,URL 3 da imagem da playlist,Altura 3 da imagem da playlist,Largura 3 da imagem da playlist,Título da playlist (original),Idioma do título da playlist (original),Carimbo de data/hora da criação da playlist,Carimbo de data/hora da atualização da playlist,Ordem dos vídeos da playlist,Visibilidade da playlist
PLXDpCGF-fibDd1jI90Mzm1CrR0ffiDYIN,Falso,,2025-12-11T02:36:04.713121+00:00,,3024,3024,2025-12-11T02:40:03.58053128+00:00,https://yt3.googleusercontent.com/mWZWkG0Vf8NoZfm5Xk0_NciFHjI5PFPd-JoopT4663ejG7OUMzdp6oHvxju5cAAE665hhwvIdqA,1000,1000,2025-12-15T20:39:36.996211318+00:00,https://yt3.googleusercontent.com/jRjhbU0eK9hx0y9xsSAX5psnfgohYog54L5rvGs_sb-kGJwfw6ZiM19r9HxgeRF3uYH7LurCZw,1000,1000,Músicas da princesa,,2025-12-11T02:35:42+00:00,2026-01-26T23:44:32+00:00,Manual,Público
PLXDpCGF-fibD-xVTML0Duu1zVZAIGpYp8,Falso,,2025-05-31T17:30:10.684174419+00:00,,433,433,2025-05-31T17:31:02.540427518+00:00,https://yt3.googleusercontent.com/t4r928G6-Mk-D4eiO-BwUUEAex2ALQ3_-QufRWElEaVe8ojqOYq0u9zsKVT2gc9i1VXfk0owF1w3,1000,1000,2025-05-31T17:30:51.0800627+00:00,https://yt3.googleusercontent.com/pdFU3WdBE5t9OcpOq1IWDv2AlxNwWxj7U5CpMh1CeSJlum5Qo9X-3nnnrJ9u45SlhwFX-Eyf,1000,1000,Nova 2.0,,2025-05-31T17:28:40+00:00,2025-06-10T06:05:28+00:00,Manual,Privado
PLXDpCGF-fibDgItBqqifEOUu-rV8j76iI,Falso,Playlist de Jorge & Mateus e alguns outros cantores sertanejos,2025-11-18T04:03:24.799468939+00:00,https://yt3.googleusercontent.com/h-YAvgH0iJbIwcQbdJ4QA8ToQHVvKJU3I6p4BAHsxKx9jp5wJedPO9fDwRASgGtNzBpceQFW1g,1000,1000,2025-08-12T00:18:28.40861335+00:00,https://yt3.googleusercontent.com/FcypLm--wvvk9pb07rc6EZ1obK3gdPxa46UcoSKQ8qFkSompaqIyDCS9ShyDmKLsxlqlqw-T7z8,1000,1000,,,,,JM+,,2025-04-06T19:03:52+00:00,2025-11-18T04:03:24+00:00,Manual,Privado
PLXDpCGF-fibBAzCN6vvyW6GYSi2mMMe3Q,Falso,,2025-01-04T01:46:01.405337844+00:00,https://yt3.googleusercontent.com/U6tkCqwO1X0tMeRR2qCDSrXDSyWzkUpcVyAix_jVcrtbwKjqastVhtJmcPQORoRiVcoDKMsg9Q,1000,1000,2026-01-20T03:54:42.197008716+00:00,https://yt3.googleusercontent.com/glgStDHlltBDdoB_c5p82Z3pgoD-a8MoS-3NTk1QYaiqyeV91e0Eyf2Uuf-_Q_yMB7w_AVGFyr4,1000,1000,,,,,Atualizada,,2025-01-04T01:35:56+00:00,2026-01-20T03:54:42+00:00,Manual,Não listados
PLXDpCGF-fibBaz3YsRwWfRuZrOgdrc07i,Falso,,2025-11-21T04:29:32.048969079+00:00,https://yt3.googleusercontent.com/3Q-vES5RuY4YWOOib6eJM7yE5H2Cgx95nDUWZWvA2S8nDhxotlvupBEIIgir4l3jB2emg3e3n9E,1000,1000,2024-02-29T21:09:27.466656129+00:00,https://yt3.googleusercontent.com/j73GKubAz9KOOHKU53uPlqmP9rzs_KsVtMcBkYX7nD0oyItPAqQWZAWhWZ5lbj0bwsmXUh1xMIZk,1000,1000,,,,,NacaBeats,,2023-12-26T20:26:06+00:00,2025-11-21T04:29:32+00:00,Manual,Público
PLXDpCGF-fibAnjKOdXSG7pOYcL5e40HTZ,Falso,,2025-11-24T08:11:44.729382876+00:00,https://yt3.googleusercontent.com/LgKGgDNcfLAYJHvhIR7fmz79UKBcto0tqCKTOqR9DY94s-3mugBDMud0a6NLhayRbdEShEzcglGd,1000,1000,2025-06-09T09:22:21.088042189+00:00,https://yt3.googleusercontent.com/CNAAL0ogpbDMzq78UTBfUZG8_sXXUT9jwObIl0LDEfetWUJXDixFO34NqqVQ11FsfpeLSgpWDxc,1000,1000,,,,,Gym,,2022-12-05T03:22:16+00:00,2026-01-05T03:47:12+00:00,Manual,Privado
PLXDpCGF-fibDxG7P7SMB3EDI7KwTpZ2zj,Falso,,2022-11-29T18:53:48.862673566+00:00,https://yt3.googleusercontent.com/3JJWPrq_wQKn36wJUEfV8W3gYLb2FsSZhrGuYarOCgWGcgIEDGKZ4zmgy3clCtFZbXaXNCUNRzg,1000,1000,,,,,,,,,NewNaca,,2022-11-29T18:49:19+00:00,2025-03-20T17:29:06+00:00,Manual,Privado
PLXDpCGF-fibB2XppNbBi85_cz24X2Ho4k,Falso,,2022-09-08T18:17:23.994469735+00:00,https://yt3.ggpht.com/RY2_nSxYhcTa9k-ockJ-J877wqIVdAxisgE8VIIVSftdMnxfKKxVu5_tKYWENvbYBgJyu6vLryVM,1000,1000,,,,,,,,,Nacarellindo,,2022-07-29T20:54:42+00:00,2022-11-28T18:47:11+00:00,Manual,Privado
PLXDpCGF-fibAeGC_kRZM4YCLD8bIRuMDH,Falso,,,,,,,,,,,,,,Watch later,en_US,2017-01-22T22:42:00+00:00,2025-08-26T23:41:09+00:00,Manual,Privado





