video_id,canal_id,categoria_id,titulo,tags,duracao_segundos,idioma_padrao,view_count,like_count,data_publicacao
wXnBvfuSJwU,UCXZ-bUSVDTo-zhXuKXd0WsQ,19,CONHEÇA UM CRUZEIRO DA MSC!,MSC Cruzeiros|MSC Seaview,1081,pt-PT,61,9,2026-02-28T20:25:48Z
2zajmVK9DqU,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: NOVORIZONTINO X CORINTHIANS | PAULISTÃO 2026 | SEMIFINAL,assistir corinthians|assistir paulistão 2026|casimiro|casimiro ao vivo|casimiro jogos|caze tv ao vivo|cazetv|cazé ao vivo|cazé tv|cazétv|cazétv ao vivo|corinthians ao vivo|corinthians novorizontino|jogo corinthians|jogo novorizontino|novorizontino ao vivo|novorizontino corinthians|novorizontino x corinthians|paulistao 2026|paulistão 2026|corinthians cazetv|futebol ao vivo|corinthians paulistao|paulistao|semifinal paulistao,21520,pt-BR,11758666,416071,2026-03-01T04:16:31Z
I5wQa_XFiNY,UChXD5FUP9ddvbdjRTvR0eVg,17,bem-vindo ao Corinthians Jesse lingard #futebol #corinthians #futebolbrasileiro #loucosporfutebol,,62,pt-PT,1357,93,2026-02-27T22:26:22Z
AE3q5yvGdAI,UC6kDHa_gPuY6S1b15fLfL3A,17,Esse foi um jogão! #corinthians #futebolbrasileiro #grêmio,,51,pt-PT,178756,7762,2026-02-19T12:26:44Z
TYitKN4AKSw,UCE2I0QRDRkmg0xx3lNDuxlg,22,Meant to do that all along...😏 #rocketleague,,36,en,3628088,145586,2026-02-03T04:01:01Z
kRn_sHXGuUs,UCyQAD2xeFqFA0Qugk5oPSaA,17,Novorizontino x Corinthians - 2020 | O Timão de Tiago Nunes praticava o futebol arte 💀,,92,pt-PT,56886,3059,2026-02-26T20:31:47Z
YIB3WOl7y5M,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: PORTUGUESA X CORINTHIANS | PAULISTÃO 2026 | QUARTAS DE FINAL,assistir corinthians|assistir paulistão 2026|casimiro|casimiro ao vivo|casimiro jogos|caze tv ao vivo|cazetv|cazé ao vivo|cazé tv|cazétv|cazétv ao vivo|corinthians ao vivo|corinthians portuguesa|jogo corinthians|jogo portuguesa|paulistao 2026|paulistão 2026|paulistão 2026 ao vivo|portuguesa ao vivo|portuguesa corinthians|portuguesa x corinthians|futebol ao vivo|corintians|corinthians paulistao|corinthians cazetv|corinthians casimiro,23370,pt-BR,14091713,495063,2026-02-23T07:28:00Z
UcQktXxDj0M,UCXmU7SB2oSVJIdExIa2jq6Q,22,TIMES DO BRASILEIRÃO 2020. #futebol #brasileirao #quiz,,135,pt-PT,470618,31738,2026-02-05T15:08:06Z
CKKNWPIb6us,UC8K22Z5eFVAEAAKBkNQpBsA,20,BRUXA SOMBRIA VS BRUXA NORMAL… QUEM GANHA? 🧙‍♀️ #clashroyale,,50,pt-BR,469538,23719,2026-02-12T23:30:07Z
pinzREiZJgE,UCyQAD2xeFqFA0Qugk5oPSaA,17,Todos os Gols de Yuri Alberto contra os clubes grandes do Rio de Janeiro pelo Corinthians! ⚽️9️⃣,,71,pt-PT,566371,34159,2026-02-02T18:00:33Z
mRsLcC-fRgU,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: ATHLETICO PARANAENSE X CORINTHIANS | BRASILEIRÃO 2026 | 2ª RODADA,assistir brasileirão 2026|brasileirao 2026|brasileirão 2026|brasileirão 2026 ao vivo|casimiro|casimiro ao vivo|casimiro jogos|caze tv ao vivo|cazetv|cazé ao vivo|cazé tv|cazétv|cazétv ao vivo|assistir futebol|futebol ao vivo|jogo ao vivo|jogo corinthians|corinthians ao vivo|assistir corinthians|corinthians cazetv|atletico|athtletico|corinthians athletico|corinthians atletico|jogo atletico|corinthians cazerv,25655,pt-BR,8680401,430778,2026-02-20T04:01:22Z
NXNUJ_Rw1N0,UCtYzzpFnlioS1WnZ-21V78A,22,Clubes da carreira,,77,pt-PT,544661,37081,2026-02-12T01:41:35Z
VKx7nyXBO8c,UCqBlHbMB5GRDwOIvhZ2OVow,17,Rank Top 5 Gols de Goleiro do Futebol! #futebol #goleiro #top5 #ranking #shorts,,46,pt-BR,1232249,79258,2026-02-06T23:49:13Z
iVqij5f_txI,UCyQAD2xeFqFA0Qugk5oPSaA,17,Primeiro Gol do Corinthians nas Últimas Edições do Brasileirão (2014-2026) 1️⃣⚽️,,120,pt-PT,81471,6733,2026-02-11T21:54:02Z
vyaP9evdeU4,UC_4Y1QqJr60C5Z7-eQWy-mw,10,Supernova Love,IVE|アイヴ|David Guetta|デヴィッドゲッタ|デヴィッド・ゲッタ|Supernova Love,200,en,9605504,100967,2024-11-07T10:01:40Z
wgqUhK32n1c,UCAtlzufZmPhkiDApWM4bTRQ,10,The Door,Teddy Swims|I've Tried Everything But Therapy (Part 1)|The Door,213,en,118026320,898686,2023-09-14T10:04:01Z
QQQ-DMiVfqA,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca das 40 Libertadores #futebol,,72,pt-PT,89526,8067,2026-02-01T17:23:47Z
IyDQcV_PGzU,UCRWVUFIzJqaFTx49In4_w-A,22,parece que aconteceu alguma coisa com quem se diz o maior do Brasil kkkk #viral #pypp #viral,,22,pt-PT,2668,120,2026-02-01T23:26:03Z
f_iVrJWob58,UCdB_csNaQiNow0dCJvA9qYg,24,Existe um tempo limite pra zerar subnautica? #jogos #subnautica,,64,pt-BR,1221104,87705,2025-05-24T00:00:53Z
r_8jl4PZHJw,UCBidMTNdNUzd58aKQjoTIiQ,22,AS CAMISAS DE TIME VOLTARAM AO NORMAL!,,66,pt-PT,220005,21905,2026-01-30T00:00:37Z
ufqVSHKlxyU,UCZiYbVptd3PVPf4f6eR6UaQ,24,JOGO COMPLETO: CORINTHIANS X ARSENAL | FINAL DO MUNDIAL DE CLUBES FEMININO DA FIFA 2026,CazéTV|Cazé TV|Casimiro ao vivo|Casimiro|CazéTV ao vivo|Cazé ao vivo|cazetv|casimiro jogos|caze tv ao vivo|jogo ao vivo|assistir futebol|cazetv ao vivo|mundial de clubes|mundial feminino|corinthians mundial|corinthians ao vivo|corinthians feminino|corinthians mundial de clubes|mundial ao vivo|assistir mundial|jogo mundial|jogo corinthians|assistir corinthians|brabas|corinthians cazetv|corinthians final|corinthians arsenal|final corinthians feminino,13796,pt-BR,8286792,271771,2026-02-01T21:00:25Z
GItRdhigWUA,UCrhi898MWetcNRmuFfhd_xQ,17,5 Copas do Mundo e 5 Bolas de Ouro #futebol,,93,pt-PT,180378,18361,2026-01-27T16:04:25Z
-Uw97CvOgKU,UC47Wz6S14mj_6Jy-T59m6IQ,10,SHEESH,BABYMONSTER|BABYMONS7ER|SHEESH,171,en,148010753,759383,2024-03-31T15:00:00Z
sTvMYIVuV8w,UCPLWm-TJeKW2Khmg7Pc5fRQ,24,QUEM É O JOGADOR PROFISSIONAL? Feat. Rafinha e Léo Macaé,lucas tylty|tylty|futebol|esportivo|esporte|graffa23tv|graffite|QUEM É O JOGADOR PROFISSIONAL? Feat. Graffite,2343,pt-BR,2152877,126745,2026-01-26T21:59:07Z
kyJQ1UA7Oak,UCRWVUFIzJqaFTx49In4_w-A,22,se não for sofrido não é Corinthians vamoooo +3 #viral,,29,pt-PT,3196,120,2026-01-26T03:49:28Z
vUxbPkrT9u8,UC1Z51uxe6T5NOY2xfNW-jKw,24,JOGO DA BOMBA ft Josvi,Ronazim|Ronazinho|Iohanan|Ronazin|Iohanaaan|Iohanan Carvalho|Ronanzinho|Ronan|Ronanzin|iohanan|Ronanzinho escola|Ronanzinho Agnaldo|Lego Ronazim,39,pt-BR,2668763,170388,2026-01-20T21:01:05Z
Lucl1ROE85Y,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca dos 40.000 Gols #futebol,,91,pt-PT,48745,4841,2026-01-22T23:06:18Z
usgU2FJVEl8,UCYmT0j7qhRUPrc-SXICvV7Q,22,Picanha na praia,,78,pt-PT,651180,43339,2025-12-12T14:58:59Z
50bgmPM7Fmo,UCrhi898MWetcNRmuFfhd_xQ,17,"3 BRs, 3 Libertadores e 4 Mundiais #futebol",,99,pt-PT,115907,8849,2026-01-21T12:26:48Z
3EnmxWCRNPs,UChkdJX6SXllR8yotKcVMN-A,20,Criaturas e coisas que foram removidas do jogo! - Subnautica Below Zero,subnautica|gameplay|lets play|vamos jogar|survival|explorando|leviathans|leviathans subnautica|leviathans subnautica below zero|subnautica below zero|flavio machado subnautica|flavio machado subnautica below zero|subnautica below zero gameplay|below zero|subnautica below zero conteúdo removido|subnautica cut content|subnautica below zero ice dragon,1180,pt-BR,150073,9567,2020-11-06T14:30:01Z
Uyka5SnxmQ4,UC0076UMUgEng8HORUw_MYHA,10,Dangerous Woman,Ariana Grande|アリアナグランデ|アリアナ・グランデ|Dangerous Woman|デンジャラスウーマン|デンジャラス・ウーマン,236,en,125850900,1106599,2018-07-07T22:57:15Z
mP2UdZPcRms,UC8HBebdssySL9xMdHaxikBg,20,Resumindo UNTIL DAWN em 60 segundos! | Gameplay em 60s - Português PT-BR,until Dawn|untilDawn|until.dawn|jogo mendigo|mendigo|until Dawn Josh|until Dawn rami malek|until Dawn Remake|until Dawn finais|until Dawn resumo|until Dawn filme|Until Dawn jogo|until Dawn game|until Dawn gameplay|until Dawn em 60 segundos|until Dawn Mike|until Dawn Sam|until Dawn Blackwood|until Dawn the quarry|Supermassive games,69,pt-BR,23457,1944,2025-07-24T21:45:04Z
M0mytU4dzmE,UCyQAD2xeFqFA0Qugk5oPSaA,17,Maycon deve ser o Cobrador de Pênaltis do Corinthians? | Todos os Pênaltis do Camisa 7 pelo Timão!,,81,pt-PT,676897,40135,2025-10-05T21:34:47Z
uRxRIXM_Yd4,UCj9R9rOhl81fhnKxBpwJ-yw,17,dizem que o Marcelinho tá até agr se recuperando dessa disputa de pênaltis,mitico|mitico jovem|igao|igao underground|podpah|podpah podcast|flow|flow podcast|vida mitica|conversa|convidados,110,pt-PT,1429634,97816,2025-12-15T14:43:43Z
i2Miht6KrNY,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca dos 800 gols em Champions #futebol,,86,pt-PT,65475,7876,2026-01-13T20:21:56Z
juvfLdDxHSQ,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: BRASIL X MÉXICO | COPA DO MUNDO KINGS LEAGUE 2026 | SEMI FINAL,CazéTV|Cazé TV|Casimiro ao vivo|Casimiro|CazéTV ao vivo|Cazé ao vivo|cazetv|casimiro jogos|caze tv ao vivo|jogo ao vivo|assistir futebol|cazetv ao vivo|cortes casimiro|kings league|kings nations|copa do mundo kings|kings league brasil|jogo kings league|assistir kings league|kings league ao vivo|brasil x espanha|brasil espanha kings|jogo brasil kings|kelvin|gaules|luqueta|furia|cris guedes|neymar|jon vlogs|coringa|loud|g3x,12561,pt-BR,2476767,80531,2026-01-15T23:44:23Z
xIYYRB_Ufa0,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: BRASIL X ARÁBIA SAUDITA | COPA DO MUNDO KINGS LEAGUE 2026 | LAST CHANCE,CazéTV|Cazé TV|Casimiro ao vivo|Casimiro|CazéTV ao vivo|Cazé ao vivo|cazetv|casimiro jogos|caze tv ao vivo|jogo ao vivo|assistir futebol|cazetv ao vivo|cortes casimiro|kings league|kings nations|copa do mundo kings|kings league brasil|jogo kings league|assistir kings league|kings league ao vivo|brasil x espanha|brasil espanha kings|jogo brasil kings|kelvin|gaules|luqueta|furia|cris guedes|neymar|jon vlogs|coringa|loud|g3x,16979,pt-BR,2292145,68827,2026-01-13T00:58:12Z
A03IGefHrKs,UCHWGumfKKJvtzDl5iaRkhCw,20,A 7ª VITÓRIA DE 2025 FOI ASSIM 🤪🔥 || Corinthians x São Bernardo pelo Paulistão #shorts #corinthians,,85,pt-BR,259024,15333,2025-12-29T12:10:28Z
Tvwojhe8p6A,UCcnW6s7gvRhyAijZUIgxCEg,20,Rare Sayonara Trophy Guide | Ghost of Yotei | #ghostofyotei #shorts,,26,en,5195,123,2025-10-24T00:45:05Z
gITk_OwPyeA,UCZiYbVptd3PVPf4f6eR6UaQ,17,JOGO COMPLETO: CORINTHIANS X LUVERDENSE | COPINHA 2026 | FASE DE GRUPOS | 2ª RODADA,CazéTV|Cazé TV|Casimiro ao vivo|Casimiro|CazéTV ao vivo|Cazé ao vivo|cazetv|casimiro jogos|caze tv ao vivo|jogo ao vivo|assistir futebol|cazetv ao vivo|cortes casimiro|copinha|copa sao paulo|futebol junior|assistir copinha|copinha ao vivo|copinha cazetv|jogo copinha|copinha casimiro|jogo corinthians|corinthians copinha|corinthians ao vivo|assistir corinthians|corinthians cazetv|corinthians luverdense,9531,pt-BR,2220881,39141,2026-01-07T00:38:02Z
h8DeZSB2o-c,UCJtROTPxo3qnEzww8JyDxuA,10,From The Start,Laufey|Spencer Stewart|Bewitched|From The Start,170,gl,62637944,975707,2023-09-07T10:02:10Z
9bgyuqM4LcU,UCOTV5IMHu8f2buB1mFGWeBg,10,Aliança,Tribalistas|Marisa Monte|Arnaldo Antunes|Carlinhos Brown|Pedro Baby|Pretinho da Serrinha|Aliança,238,pt-PT,5026363,69875,2021-03-20T07:43:51Z
TDHek_V8ukM,UCrhi898MWetcNRmuFfhd_xQ,17,"3 campeões da série a, 3 campeões da libertadores e 4 campeões da série b #futebol",,72,pt-PT,282031,19990,2026-01-03T15:04:25Z
1CTyjmIvt4I,UCcO3pf47GO1rxL4tlWEs5Ow,24,produtos mais BIZARROS que marcas famosas lançaram,,43,pt,12013342,507817,2025-05-11T15:00:03Z
XhpYS59CpcU,UCZiYbVptd3PVPf4f6eR6UaQ,17,QUEM CHEGA MAIS PERTO???? 🤔👀➕,CazéTV|Cazé TV|Casimiro ao vivo|Casimiro|CazéTV ao vivo|Cazé ao vivo|cazetv|casimiro jogos|caze tv ao vivo|jogo ao vivo|assistir futebol|cazetv ao vivo|cortes casimiro|cortes cazetv|geral cazetv|cortes geral cazetv|cortes geral,151,pt-BR,891023,79284,2025-11-28T17:37:06Z
s-NKdmsBMUI,UCrUaOXDthlf-HOVYq3E5Stw,22,🧱🗿 Artista que RECONSTRÓI a Própria Cidade,,42,pt-PT,3634767,219396,2025-12-22T17:52:52Z
iDi5rCZX5MQ,UCHw2aRSCveHIIxNinU2ZHpQ,27,Animais com as Vidas Mais M*rdas 😭,,76,pt-PT,1801177,194950,2025-12-03T18:05:13Z
AOmqUNgR8Tc,UCrhi898MWetcNRmuFfhd_xQ,17,"3 brasileiros, 3 libertadores, 3 mundiais e uma série b #futebol",,89,pt-PT,150789,12101,2025-12-18T15:25:14Z
Ytmcwjf2amw,UCIz8Vvt9ux6x7Ryi2sqG1ww,10,Your Idol,Saja Boys|サジャボーイズ|サジャ・ボーイズ|Andrew Choi|アンドリューチェ|Neckwav|Danny Chung|Kevin Woo|samUIL Lee|KPop Demon Hunters Cast|ケーポップデーモンハンターズキャスト|KPOPガールズ! デーモン・ハンターズ・キャスト|Your Idol|ユアアイドル|ユア・アイドル,192,en,71517606,739695,2025-08-28T00:47:51Z
g11pA-WeUco,UCrhi898MWetcNRmuFfhd_xQ,17,Pirâmide do Brasileirão #futebol,,64,pt-PT,15322,1688,2026-01-01T18:13:38Z
E669_cbqomM,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca dos 1.100 gols em Copas #futebol,,66,pt-PT,126877,8083,2026-01-01T21:00:06Z
PRW2U-7DBzM,UCrhi898MWetcNRmuFfhd_xQ,17,Procurando jogadores desses times #futebol,,74,pt-PT,99227,6592,2026-01-02T21:14:41Z
PF4TXAtwh-Q,UCrhi898MWetcNRmuFfhd_xQ,17,"Bola de Ouro, Mundial e Champions #futebol",,89,pt-PT,119636,10014,2026-01-03T00:27:02Z
W-gYLtGKl_s,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca de 35 Brasileirões #futebol,,83,pt-PT,340071,17994,2025-12-24T17:39:24Z
1khz2yqULJQ,UCt80koRTG61DmNCp4oybLSg,22,Is Resting Steaks BULLSH*T?,,60,en,10309786,473888,2023-12-18T12:00:02Z
kJ8XBCNRfoY,UCxvef1vHljNRUA9c0ccd4tQ,28,Porque ligar modo avião em viagem#litosousa #universo #aviation #thenoite #danilogentili,,40,pt-PT,7544505,388935,2025-11-26T16:51:17Z
s2B0VMnAXC4,UC9pylmHdqg79PU67dvyF12g,17,Mundo do futebol no último título do Vasco,libertadores|copa do brasil|corinthians|vasco|futebol,61,pt,337416,27798,2025-12-23T20:00:51Z
KWrPnvBXwHo,UCItD58JBRDx8VMb-BgrI1eg,17,A PROFECIA da torcida do Vasco não se cumpriu e a SOBERBA PRECEDEU A QUEDA diante do Corinthians.,,121,pt-BR,1353563,79141,2025-12-27T00:54:40Z
w-BIPMHg_DA,UCMlFWgzgVcSbSEvcvocIfTA,28,Método eficaz para limpar a tubulação de esgoto. #shorts,,16,pt-PT,39847,796,2023-04-03T01:22:45Z
TUNyoF-776E,UCcEg7TgXmd3cLEd3IAsWaiQ,22,BEEF STEAK - TEST #steak #cooking #food #meat,,57,en,2340292,112494,2025-11-08T11:48:29Z
U4EuDOO5HAU,UCwMN919JVYNBtvPpGYdtf1g,24,A história mais absurda que um médico já ouviu | Paulo Muzy Cenoura | 🏷️ Over10 na #maxtitanium,,106,pt-BR,3130767,190591,2025-12-26T18:29:47Z
k0cSqIgHXWc,UCNS-FlpuSNg41d0AJf46ipQ,27,Você sabia que é possível caminhar da África do Sul até a Argentina?  #mapas #geografia #shorts,,64,pt-PT,1267636,55651,2025-11-27T01:14:54Z
tsTPFBH7YqA,UCrhi898MWetcNRmuFfhd_xQ,17,Pirâmide das seleções #futebol,,68,pt-PT,262368,15043,2025-12-29T18:23:03Z
QCNX9hbnCuM,UCnNMmdGsqhGZsWgenT0T_BQ,17,O CORINTHIANS ACABOU com o PALMEIRAS  em 2017. #corinthians #palmeiras #brasileirao,,72,pt-PT,946823,39644,2025-12-09T12:00:53Z
8ycCA1NMWaA,UCc3bF-fK5T4StuxuE3hBNPw,24,PORQUE O LEAO NÃO ATACA NO SAFARI? #richardrasmussen #animais#curiosidades #shorts,,64,pt-PT,6894522,0,2025-12-16T15:00:16Z
M-iimB_Lq_k,UCHw2aRSCveHIIxNinU2ZHpQ,27,Ele é IMUNE a VENENOS! 🐍,,62,pt-PT,5003908,526180,2025-07-11T15:22:06Z
P3wX4jYGGLQ,UCYtWXns-OMVfBvQ8LPNI4bw,27,Dá pra fugir da prisão usando salsa? #shorts,,51,pt-PT,2332046,130720,2025-12-14T22:30:11Z
dib37Wd6WUg,UCselVZrTAqDPEL4Zd6bn1Jw,24,ELE ENGANOU O FBI E NUNCA MAIS FOI VISTO ...  #aviõesemúsicas  #curiosidades  #aviação,talk flow|curiosidades|lito|aviação|lito explicando|lito podcast|lito lounge|lito canal|curiologia|lito sousa|aviões e musicas|inteligencia ltda|cortes do inteligencia ltda|lito sousa e jorge de souza|lito sousa e jorge de souza no inteligencia ltda|nosso universo|avião|aviões|aviação comercial|misterios da aviação|histórias da aviação|lito sousa no inteligencia ltda|db cooper|D. B. Cooper|dan cooper|historia d b cooper|voo|lito no inteligencia ltda,90,pt-BR,5618086,335746,2025-10-08T21:00:49Z
MYrkwKrUsUA,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca das 50 Libertadores #futebol,,73,pt-PT,450539,24015,2025-12-29T00:57:24Z
ggSjls8c-NI,UCOEIMkGWLNTNKG9iBSsXJIA,22,Celso Portiolli conta o dia que o Silvio Santos chamou a atenção dele #podcast #famosos,,55,pt-PT,4781079,451579,2025-12-15T21:19:04Z
2kkHj9atfFo,UCV4o9lbQ0pnrMlcqPS2PfNA,22,🚨 O País que Só Viveu 8 SEGUNDOS! 🌍⏱️ Você NÃO Vai Acreditar! 😳,,66,pt-PT,737672,47589,2025-11-27T21:55:15Z
Y2txiRk91XM,UCClzF_pbvwIve8VbOsZ-FYw,24,A disputa de pênaltis mais bizarra do futebol 😱,,60,pt-BR,4332271,278175,2025-12-28T20:01:49Z
k1YwKjKeXTk,UCYtWXns-OMVfBvQ8LPNI4bw,27,De simples pedras a uma ponte em balanço #shorts,,76,pt-PT,5228987,304431,2025-12-19T23:30:20Z
-6W-7yLWBHY,UCrhi898MWetcNRmuFfhd_xQ,17,Em busca de 1.000.000 de gols #futebol,,76,pt-PT,922644,56959,2025-12-26T20:39:34Z
7gvV7aw8GFU,UCbvl68jBy9AJIk1u_3XxAVg,22,Qual melhor clube Paulista nos últimos 10anos ? 🐷 #palmeiras #futebol,,67,pt-PT,58906,1333,2025-12-30T05:47:16Z
XXi8yLVKwW4,UC8CMzdzbmrwx2VLK-onrWqA,20,Strategy Predict 🔥,clash royale,31,en-US,12679134,725634,2025-12-04T15:20:01Z
